city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,6
sj,2008,20,4
sj,2008,21,11
sj,2008,22,9
sj,2008,23,9
sj,2008,24,9
sj,2008,25,14
sj,2008,26,16
sj,2008,27,25
sj,2008,28,13
sj,2008,29,19
sj,2008,30,16
sj,2008,31,26
sj,2008,32,37
sj,2008,33,57
sj,2008,34,37
sj,2008,35,37
sj,2008,36,41
sj,2008,37,48
sj,2008,38,29
sj,2008,39,44
sj,2008,40,42
sj,2008,41,72
sj,2008,42,67
sj,2008,43,35
sj,2008,44,73
sj,2008,45,89
sj,2008,46,56
sj,2008,47,49
sj,2008,48,69
sj,2008,49,34
sj,2008,50,32
sj,2008,51,40
sj,2008,52,29
sj,2009,1,39
sj,2009,2,17
sj,2009,3,33
sj,2009,4,75
sj,2009,5,33
sj,2009,6,27
sj,2009,7,22
sj,2009,8,30
sj,2009,9,10
sj,2009,10,8
sj,2009,11,36
sj,2009,12,7
sj,2009,13,11
sj,2009,14,6
sj,2009,15,6
sj,2009,16,7
sj,2009,17,10
sj,2009,18,10
sj,2009,19,4
sj,2009,20,8
sj,2009,21,7
sj,2009,22,5
sj,2009,23,10
sj,2009,24,10
sj,2009,25,12
sj,2009,26,15
sj,2009,27,19
sj,2009,28,24
sj,2009,29,26
sj,2009,30,23
sj,2009,31,26
sj,2009,32,28
sj,2009,33,35
sj,2009,34,40
sj,2009,35,56
sj,2009,36,67
sj,2009,37,48
sj,2009,38,50
sj,2009,39,36
sj,2009,40,98
sj,2009,41,133
sj,2009,42,108
sj,2009,43,76
sj,2009,44,68
sj,2009,45,82
sj,2009,46,29
sj,2009,47,81
sj,2009,48,28
sj,2009,49,52
sj,2009,50,58
sj,2009,51,50
sj,2009,52,45
sj,2010,53,56
sj,2010,1,69
sj,2010,2,56
sj,2010,3,58
sj,2010,4,37
sj,2010,5,22
sj,2010,6,25
sj,2010,7,41
sj,2010,8,70
sj,2010,9,23
sj,2010,10,36
sj,2010,11,28
sj,2010,12,18
sj,2010,13,7
sj,2010,14,16
sj,2010,15,7
sj,2010,16,20
sj,2010,17,20
sj,2010,18,15
sj,2010,19,10
sj,2010,20,11
sj,2010,21,11
sj,2010,22,36
sj,2010,23,16
sj,2010,24,9
sj,2010,25,15
sj,2010,26,16
sj,2010,27,21
sj,2010,28,35
sj,2010,29,31
sj,2010,30,17
