city,year,weekofyear,total_cases
sj,2008,18,163
sj,2008,19,163
sj,2008,20,163
sj,2008,21,172
sj,2008,22,163
sj,2008,23,163
sj,2008,24,163
sj,2008,25,161
sj,2008,26,163
sj,2008,27,163
sj,2008,28,163
sj,2008,29,166
sj,2008,30,163
sj,2008,31,163
sj,2008,32,163
sj,2008,33,163
sj,2008,34,163
sj,2008,35,163
sj,2008,36,163
sj,2008,37,163
sj,2008,38,163
sj,2008,39,163
sj,2008,40,163
sj,2008,41,163
sj,2008,42,163
sj,2008,43,163
sj,2008,44,175
sj,2008,45,163
sj,2008,46,163
sj,2008,47,163
sj,2008,48,163
sj,2008,49,164
sj,2008,50,175
sj,2008,51,163
sj,2008,52,175
sj,2009,1,75
sj,2009,2,72
sj,2009,3,72
sj,2009,4,155
sj,2009,5,175
sj,2009,6,175
sj,2009,7,175
sj,2009,8,163
sj,2009,9,163
sj,2009,10,163
sj,2009,11,163
sj,2009,12,175
sj,2009,13,163
sj,2009,14,163
sj,2009,15,175
sj,2009,16,175
sj,2009,17,163
sj,2009,18,163
sj,2009,19,163
sj,2009,20,163
sj,2009,21,163
sj,2009,22,163
sj,2009,23,163
sj,2009,24,163
sj,2009,25,163
sj,2009,26,163
sj,2009,27,166
sj,2009,28,163
sj,2009,29,163
sj,2009,30,163
sj,2009,31,163
sj,2009,32,163
sj,2009,33,163
sj,2009,34,163
sj,2009,35,163
sj,2009,36,163
sj,2009,37,163
sj,2009,38,163
sj,2009,39,163
sj,2009,40,163
sj,2009,41,163
sj,2009,42,163
sj,2009,43,163
sj,2009,44,163
sj,2009,45,163
sj,2009,46,163
sj,2009,47,163
sj,2009,48,163
sj,2009,49,163
sj,2009,50,175
sj,2009,51,163
sj,2009,52,175
sj,2010,53,175
sj,2010,1,74
sj,2010,2,70
sj,2010,3,72
sj,2010,4,155
sj,2010,5,175
sj,2010,6,176
sj,2010,7,175
sj,2010,8,163
sj,2010,9,175
sj,2010,10,175
sj,2010,11,175
sj,2010,12,160
sj,2010,13,178
sj,2010,14,166
sj,2010,15,175
sj,2010,16,163
sj,2010,17,163
sj,2010,18,163
sj,2010,19,163
sj,2010,20,163
sj,2010,21,163
sj,2010,22,163
sj,2010,23,163
sj,2010,24,163
sj,2010,25,163
sj,2010,26,163
sj,2010,27,163
sj,2010,28,163
sj,2010,29,163
sj,2010,30,163
sj,2010,31,163
sj,2010,32,163
sj,2010,33,163
sj,2010,34,163
sj,2010,35,163
sj,2010,36,163
sj,2010,37,163
sj,2010,38,163
sj,2010,39,163
sj,2010,40,163
sj,2010,41,163
sj,2010,42,163
sj,2010,43,163
sj,2010,44,163
sj,2010,45,163
sj,2010,46,163
sj,2010,47,163
sj,2010,48,163
sj,2010,49,169
sj,2010,50,163
sj,2010,51,163
sj,2011,52,163
sj,2011,1,80
sj,2011,2,70
sj,2011,3,70
sj,2011,4,167
sj,2011,5,176
sj,2011,6,175
sj,2011,7,175
sj,2011,8,175
sj,2011,9,163
sj,2011,10,163
sj,2011,11,175
sj,2011,12,175
sj,2011,13,163
sj,2011,14,163
sj,2011,15,175
sj,2011,16,163
sj,2011,17,161
sj,2011,18,163
sj,2011,19,166
sj,2011,20,163
