city,year,weekofyear,total_cases
sj,2008,18,23
sj,2008,19,19
sj,2008,20,18
sj,2008,21,32
sj,2008,22,36
sj,2008,23,34
sj,2008,24,25
sj,2008,25,41
sj,2008,26,29
sj,2008,27,37
sj,2008,28,37
sj,2008,29,70
sj,2008,30,51
sj,2008,31,30
sj,2008,32,128
sj,2008,33,92
sj,2008,34,74
sj,2008,35,97
sj,2008,36,82
sj,2008,37,43
sj,2008,38,134
sj,2008,39,98
sj,2008,40,115
sj,2008,41,37
sj,2008,42,64
sj,2008,43,42
sj,2008,44,34
sj,2008,45,49
sj,2008,46,38
sj,2008,47,49
sj,2008,48,39
sj,2008,49,20
sj,2008,50,35
sj,2008,51,50
sj,2008,52,15
sj,2009,1,18
sj,2009,2,16
sj,2009,3,39
sj,2009,4,21
sj,2009,5,45
sj,2009,6,15
sj,2009,7,28
sj,2009,8,23
sj,2009,9,30
sj,2009,10,26
sj,2009,11,28
sj,2009,12,20
sj,2009,13,13
sj,2009,14,26
sj,2009,15,15
sj,2009,16,17
sj,2009,17,20
sj,2009,18,36
sj,2009,19,23
sj,2009,20,51
sj,2009,21,46
sj,2009,22,32
sj,2009,23,20
sj,2009,24,35
sj,2009,25,31
sj,2009,26,34
sj,2009,27,74
sj,2009,28,44
sj,2009,29,64
sj,2009,30,78
sj,2009,31,68
sj,2009,32,95
sj,2009,33,54
sj,2009,34,75
sj,2009,35,137
sj,2009,36,79
sj,2009,37,74
sj,2009,38,57
sj,2009,39,49
sj,2009,40,92
sj,2009,41,80
sj,2009,42,121
sj,2009,43,95
sj,2009,44,41
sj,2009,45,28
sj,2009,46,39
sj,2009,47,49
sj,2009,48,33
sj,2009,49,36
sj,2009,50,34
sj,2009,51,80
sj,2009,52,16
sj,2010,53,43
sj,2010,1,43
sj,2010,2,23
sj,2010,3,48
sj,2010,4,19
sj,2010,5,36
sj,2010,6,23
sj,2010,7,18
sj,2010,8,24
sj,2010,9,44
sj,2010,10,21
sj,2010,11,18
sj,2010,12,27
sj,2010,13,40
sj,2010,14,22
sj,2010,15,22
sj,2010,16,46
sj,2010,17,43
sj,2010,18,39
sj,2010,19,25
sj,2010,20,42
sj,2010,21,40
sj,2010,22,138
sj,2010,23,78
sj,2010,24,102
sj,2010,25,140
sj,2010,26,133
sj,2010,27,120
sj,2010,28,89
sj,2010,29,136
sj,2010,30,142
sj,2010,31,114
sj,2010,32,105
sj,2010,33,136
sj,2010,34,111
sj,2010,35,77
sj,2010,36,82
sj,2010,37,138
sj,2010,38,112
sj,2010,39,75
sj,2010,40,112
sj,2010,41,86
sj,2010,42,92
sj,2010,43,46
sj,2010,44,45
sj,2010,45,53
sj,2010,46,35
sj,2010,47,42
sj,2010,48,31
sj,2010,49,20
sj,2010,50,17
sj,2010,51,17
sj,2011,52,38
sj,2011,1,63
sj,2011,2,35
sj,2011,3,43
sj,2011,4,28
sj,2011,5,22
sj,2011,6,20
sj,2011,7,18
sj,2011,8,21
sj,2011,9,19
sj,2011,10,21
sj,2011,11,19
sj,2011,12,18
sj,2011,13,21
sj,2011,14,26
sj,2011,15,24
sj,2011,16,22
sj,2011,17,14
sj,2011,18,47
sj,2011,19,29
sj,2011,20,42
sj,2011,21,53
sj,2011,22,67
sj,2011,23,67
sj,2011,24,145
sj,2011,25,130
sj,2011,26,108
sj,2011,27,128
sj,2011,28,117
sj,2011,29,66
sj,2011,30,128
sj,2011,31,93
sj,2011,32,125
sj,2011,33,101
sj,2011,34,132
sj,2011,35,126
sj,2011,36,64
sj,2011,37,115
sj,2011,38,60
sj,2011,39,133
sj,2011,40,118
sj,2011,41,43
sj,2011,42,35
sj,2011,43,29
sj,2011,44,62
sj,2011,45,49
sj,2011,46,36
sj,2011,47,60
sj,2011,48,44
sj,2011,49,50
sj,2011,50,54
sj,2011,51,37
sj,2012,52,44
sj,2012,1,33
sj,2012,2,41
sj,2012,3,23
sj,2012,4,30
sj,2012,5,17
sj,2012,6,17
sj,2012,7,18
sj,2012,8,19
sj,2012,9,16
sj,2012,10,17
sj,2012,11,16
sj,2012,12,36
sj,2012,13,46
sj,2012,14,28
sj,2012,15,29
sj,2012,16,36
sj,2012,17,19
sj,2012,18,50
sj,2012,19,45
sj,2012,20,36
sj,2012,21,39
sj,2012,22,15
sj,2012,23,39
sj,2012,24,71
sj,2012,25,70
sj,2012,26,67
sj,2012,27,66
sj,2012,28,57
sj,2012,29,38
sj,2012,30,110
sj,2012,31,44
sj,2012,32,138
sj,2012,33,112
sj,2012,34,95
sj,2012,35,75
sj,2012,36,50
sj,2012,37,69
sj,2012,38,87
sj,2012,39,76
sj,2012,40,87
sj,2012,41,37
sj,2012,42,130
sj,2012,43,66
