city,year,weekofyear,total_cases
sj,2008,18,24
sj,2008,19,20
sj,2008,20,18
sj,2008,21,29
sj,2008,22,35
sj,2008,23,33
sj,2008,24,28
sj,2008,25,38
sj,2008,26,30
sj,2008,27,36
sj,2008,28,37
sj,2008,29,69
sj,2008,30,52
sj,2008,31,30
sj,2008,32,127
sj,2008,33,97
sj,2008,34,79
sj,2008,35,101
sj,2008,36,89
sj,2008,37,42
sj,2008,38,137
sj,2008,39,94
sj,2008,40,116
sj,2008,41,36
sj,2008,42,61
sj,2008,43,43
sj,2008,44,34
sj,2008,45,53
sj,2008,46,37
sj,2008,47,48
sj,2008,48,38
sj,2008,49,21
sj,2008,50,33
sj,2008,51,49
sj,2008,52,15
sj,2009,1,19
sj,2009,2,16
sj,2009,3,41
sj,2009,4,21
sj,2009,5,43
sj,2009,6,14
sj,2009,7,27
sj,2009,8,21
sj,2009,9,31
sj,2009,10,26
sj,2009,11,29
sj,2009,12,20
sj,2009,13,14
sj,2009,14,25
sj,2009,15,16
sj,2009,16,18
sj,2009,17,20
sj,2009,18,35
sj,2009,19,22
sj,2009,20,51
sj,2009,21,42
sj,2009,22,33
sj,2009,23,17
sj,2009,24,36
sj,2009,25,30
sj,2009,26,30
sj,2009,27,75
sj,2009,28,43
sj,2009,29,69
sj,2009,30,76
sj,2009,31,70
sj,2009,32,98
sj,2009,33,55
sj,2009,34,72
sj,2009,35,143
sj,2009,36,80
sj,2009,37,70
sj,2009,38,54
sj,2009,39,45
sj,2009,40,96
sj,2009,41,85
sj,2009,42,125
sj,2009,43,91
sj,2009,44,39
sj,2009,45,28
sj,2009,46,39
sj,2009,47,44
sj,2009,48,30
sj,2009,49,35
sj,2009,50,35
sj,2009,51,88
sj,2009,52,18
sj,2010,53,48
sj,2010,1,48
sj,2010,2,23
sj,2010,3,46
sj,2010,4,19
sj,2010,5,37
sj,2010,6,25
sj,2010,7,17
sj,2010,8,25
sj,2010,9,40
sj,2010,10,21
sj,2010,11,18
sj,2010,12,26
sj,2010,13,44
sj,2010,14,21
sj,2010,15,21
sj,2010,16,46
sj,2010,17,43
sj,2010,18,38
sj,2010,19,26
sj,2010,20,42
sj,2010,21,37
sj,2010,22,139
sj,2010,23,79
sj,2010,24,105
sj,2010,25,136
sj,2010,26,133
sj,2010,27,120
sj,2010,28,88
sj,2010,29,137
sj,2010,30,140
sj,2010,31,118
sj,2010,32,110
sj,2010,33,137
sj,2010,34,114
sj,2010,35,83
sj,2010,36,87
sj,2010,37,134
sj,2010,38,109
sj,2010,39,77
sj,2010,40,117
sj,2010,41,92
sj,2010,42,96
sj,2010,43,47
sj,2010,44,49
sj,2010,45,54
sj,2010,46,35
sj,2010,47,39
sj,2010,48,30
sj,2010,49,23
sj,2010,50,17
sj,2010,51,16
sj,2011,52,38
sj,2011,1,58
sj,2011,2,37
sj,2011,3,41
sj,2011,4,28
sj,2011,5,23
sj,2011,6,20
sj,2011,7,19
sj,2011,8,21
sj,2011,9,19
sj,2011,10,21
sj,2011,11,17
sj,2011,12,17
sj,2011,13,20
sj,2011,14,26
sj,2011,15,24
sj,2011,16,22
sj,2011,17,14
sj,2011,18,49
sj,2011,19,29
sj,2011,20,42
sj,2011,21,53
sj,2011,22,63
sj,2011,23,66
sj,2011,24,142
sj,2011,25,126
sj,2011,26,102
sj,2011,27,128
sj,2011,28,115
sj,2011,29,68
sj,2011,30,125
sj,2011,31,91
sj,2011,32,128
sj,2011,33,95
sj,2011,34,133
sj,2011,35,122
sj,2011,36,59
sj,2011,37,113
sj,2011,38,58
sj,2011,39,132
sj,2011,40,114
sj,2011,41,46
sj,2011,42,37
sj,2011,43,28
sj,2011,44,60
sj,2011,45,49
sj,2011,46,38
sj,2011,47,61
sj,2011,48,44
sj,2011,49,52
sj,2011,50,53
sj,2011,51,37
sj,2012,52,45
sj,2012,1,34
sj,2012,2,38
sj,2012,3,26
sj,2012,4,29
sj,2012,5,16
sj,2012,6,16
sj,2012,7,18
sj,2012,8,19
sj,2012,9,17
sj,2012,10,17
sj,2012,11,16
sj,2012,12,37
sj,2012,13,45
sj,2012,14,28
sj,2012,15,30
sj,2012,16,34
sj,2012,17,19
sj,2012,18,47
sj,2012,19,46
sj,2012,20,36
sj,2012,21,41
sj,2012,22,16
sj,2012,23,37
sj,2012,24,67
sj,2012,25,68
sj,2012,26,64
sj,2012,27,66
sj,2012,28,57
sj,2012,29,36
sj,2012,30,112
sj,2012,31,47
sj,2012,32,138
sj,2012,33,107
sj,2012,34,92
sj,2012,35,78
sj,2012,36,50
sj,2012,37,68
sj,2012,38,91
sj,2012,39,72
sj,2012,40,84
