city,year,weekofyear,total_cases
sj,2008,18,33
sj,2008,19,33
sj,2008,20,28
sj,2008,21,30
sj,2008,22,32
sj,2008,23,33
sj,2008,24,33
sj,2008,25,33
sj,2008,26,33
sj,2008,27,35
sj,2008,28,33
sj,2008,29,35
sj,2008,30,35
sj,2008,31,35
sj,2008,32,33
sj,2008,33,35
sj,2008,34,33
sj,2008,35,33
sj,2008,36,35
sj,2008,37,32
sj,2008,38,33
sj,2008,39,32
sj,2008,40,33
sj,2008,41,35
sj,2008,42,33
sj,2008,43,33
sj,2008,44,35
sj,2008,45,32
sj,2008,46,35
sj,2008,47,32
sj,2008,48,32
sj,2008,49,35
sj,2008,50,33
sj,2008,51,32
sj,2008,52,33
sj,2009,1,35
sj,2009,2,35
sj,2009,3,35
sj,2009,4,33
sj,2009,5,33
sj,2009,6,33
sj,2009,7,33
sj,2009,8,33
sj,2009,9,35
sj,2009,10,35
sj,2009,11,33
sj,2009,12,33
sj,2009,13,31
sj,2009,14,35
sj,2009,15,33
sj,2009,16,35
sj,2009,17,33
sj,2009,18,33
sj,2009,19,33
sj,2009,20,33
sj,2009,21,33
sj,2009,22,33
sj,2009,23,33
sj,2009,24,33
sj,2009,25,33
sj,2009,26,33
sj,2009,27,33
sj,2009,28,33
sj,2009,29,33
sj,2009,30,33
sj,2009,31,33
sj,2009,32,35
sj,2009,33,33
sj,2009,34,33
sj,2009,35,33
sj,2009,36,33
sj,2009,37,33
sj,2009,38,33
sj,2009,39,33
sj,2009,40,35
sj,2009,41,35
sj,2009,42,33
sj,2009,43,33
sj,2009,44,35
sj,2009,45,32
sj,2009,46,32
sj,2009,47,32
sj,2009,48,32
sj,2009,49,32
sj,2009,50,33
sj,2009,51,32
sj,2009,52,35
sj,2010,53,35
sj,2010,1,35
sj,2010,2,33
sj,2010,3,32
sj,2010,4,33
sj,2010,5,35
sj,2010,6,33
sj,2010,7,33
sj,2010,8,35
sj,2010,9,31
sj,2010,10,33
sj,2010,11,33
sj,2010,12,33
sj,2010,13,35
sj,2010,14,35
sj,2010,15,33
sj,2010,16,33
sj,2010,17,33
sj,2010,18,33
sj,2010,19,33
sj,2010,20,33
sj,2010,21,33
sj,2010,22,33
sj,2010,23,33
sj,2010,24,33
sj,2010,25,33
sj,2010,26,33
sj,2010,27,33
sj,2010,28,35
sj,2010,29,32
sj,2010,30,33
sj,2010,31,33
sj,2010,32,33
sj,2010,33,33
sj,2010,34,33
sj,2010,35,33
sj,2010,36,33
sj,2010,37,33
sj,2010,38,33
sj,2010,39,33
sj,2010,40,33
sj,2010,41,33
sj,2010,42,32
sj,2010,43,33
sj,2010,44,33
sj,2010,45,32
sj,2010,46,32
sj,2010,47,32
sj,2010,48,35
sj,2010,49,35
sj,2010,50,32
sj,2010,51,32
sj,2011,52,35
sj,2011,1,33
sj,2011,2,33
sj,2011,3,33
sj,2011,4,35
sj,2011,5,35
sj,2011,6,35
sj,2011,7,33
sj,2011,8,33
sj,2011,9,35
sj,2011,10,35
sj,2011,11,35
sj,2011,12,33
sj,2011,13,33
sj,2011,14,35
sj,2011,15,35
sj,2011,16,33
sj,2011,17,35
sj,2011,18,33
sj,2011,19,35
sj,2011,20,32
sj,2011,21,32
sj,2011,22,33
sj,2011,23,33
sj,2011,24,32
sj,2011,25,33
sj,2011,26,35
sj,2011,27,33
sj,2011,28,33
sj,2011,29,33
sj,2011,30,33
sj,2011,31,33
sj,2011,32,33
sj,2011,33,33
sj,2011,34,32
sj,2011,35,32
sj,2011,36,33
sj,2011,37,33
sj,2011,38,33
sj,2011,39,33
sj,2011,40,33
sj,2011,41,33
sj,2011,42,34
sj,2011,43,33
sj,2011,44,33
sj,2011,45,32
sj,2011,46,32
sj,2011,47,32
sj,2011,48,32
sj,2011,49,32
sj,2011,50,32
sj,2011,51,32
sj,2012,52,32
sj,2012,1,35
sj,2012,2,33
sj,2012,3,35
sj,2012,4,33
sj,2012,5,33
sj,2012,6,33
sj,2012,7,33
sj,2012,8,35
sj,2012,9,35
sj,2012,10,35
sj,2012,11,33
sj,2012,12,35
sj,2012,13,33
sj,2012,14,33
sj,2012,15,33
sj,2012,16,33
sj,2012,17,33
sj,2012,18,33
sj,2012,19,33
sj,2012,20,33
sj,2012,21,33
sj,2012,22,35
sj,2012,23,35
sj,2012,24,35
sj,2012,25,35
sj,2012,26,35
sj,2012,27,33
sj,2012,28,33
sj,2012,29,33
sj,2012,30,33
sj,2012,31,35
sj,2012,32,33
sj,2012,33,33
sj,2012,34,33
sj,2012,35,33
sj,2012,36,35
sj,2012,37,35
sj,2012,38,35
sj,2012,39,35
sj,2012,40,33
sj,2012,41,33
sj,2012,42,33
sj,2012,43,33
sj,2012,44,33
sj,2012,45,35
sj,2012,46,35
sj,2012,47,32
sj,2012,48,32
sj,2012,49,32
sj,2012,50,35
sj,2012,51,32
sj,2013,1,33
sj,2013,2,35
sj,2013,3,33
sj,2013,4,35
sj,2013,5,35
sj,2013,6,33
sj,2013,7,33
sj,2013,8,35
sj,2013,9,35
sj,2013,10,33
sj,2013,11,33
sj,2013,12,35
sj,2013,13,35
sj,2013,14,33
sj,2013,15,35
sj,2013,16,33
sj,2013,17,33
iq,2010,26,8
iq,2010,27,15
iq,2010,28,8
iq,2010,29,15
iq,2010,30,6
iq,2010,31,6
iq,2010,32,6
iq,2010,33,6
iq,2010,34,6
iq,2010,35,6
iq,2010,36,7
iq,2010,37,6
iq,2010,38,6
iq,2010,39,6
iq,2010,40,5
iq,2010,41,6
iq,2010,42,6
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,6
iq,2010,49,9
iq,2010,50,7
iq,2010,51,9
iq,2011,52,18
iq,2011,1,17
iq,2011,2,17
iq,2011,3,16
iq,2011,4,15
iq,2011,5,14
iq,2011,6,14
iq,2011,7,13
iq,2011,8,14
iq,2011,9,11
iq,2011,10,20
iq,2011,11,11
iq,2011,12,11
iq,2011,13,9
iq,2011,14,15
iq,2011,15,15
iq,2011,16,15
iq,2011,17,12
iq,2011,18,12
iq,2011,19,15
iq,2011,20,15
iq,2011,21,15
iq,2011,22,15
iq,2011,23,15
iq,2011,24,15
iq,2011,25,12
iq,2011,26,8
iq,2011,27,8
iq,2011,28,6
iq,2011,29,6
iq,2011,30,7
iq,2011,31,6
iq,2011,32,6
iq,2011,33,6
iq,2011,34,6
iq,2011,35,6
iq,2011,36,6
iq,2011,37,6
iq,2011,38,8
iq,2011,39,15
iq,2011,40,7
iq,2011,41,7
iq,2011,42,8
iq,2011,43,6
iq,2011,44,6
iq,2011,45,6
iq,2011,46,7
iq,2011,47,7
iq,2011,48,6
iq,2011,49,15
iq,2011,50,9
iq,2011,51,15
iq,2012,52,11
iq,2012,1,23
iq,2012,2,25
iq,2012,3,21
iq,2012,4,21
iq,2012,5,24
iq,2012,6,22
iq,2012,7,22
iq,2012,8,13
iq,2012,9,21
